Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
Walker Kessler,23,UTA,C,38,38,1135,20.3,0.706,0.024,0.431,16.1,25.9,21.1,7.4,0.9,7.4,15.8,12.9,2.7,1.2,3.9,0.163,1.3,0.7,1.9,1.1,4.7,6.5,0.72,0.1,0.2,0.333,4.6,6.3,0.729,0.724,1.5,2.8,0.538,4.3,7.1,11.5,1.5,0.6,2.3,1.4,2.2,10.9,kesslwa01
Cameron Johnson,28,BRK,PF,35,35,1131,18.4,0.658,0.58,0.278,2.5,12.4,7.3,15.8,1.2,1.5,10.4,22.4,2.6,0.7,3.3,0.14,4,-0.5,3.5,1.6,6.5,13.1,0.491,3.2,7.6,0.419,3.3,5.5,0.591,0.613,3.3,3.7,0.898,0.7,3.3,4.1,2.9,0.8,0.5,1.7,1.8,19.4,johnsca02
Buddy Hield,32,GSW,SG,49,17,1129,12,0.553,0.69,0.092,2.4,12.7,7.4,10.5,1.8,1.2,10.7,21.3,0.1,1.2,1.3,0.056,-1,-0.5,-1.5,0.1,4.1,10,0.411,2.5,6.9,0.366,1.6,3.1,0.513,0.538,0.8,0.9,0.822,0.6,2.7,3.2,1.6,0.9,0.3,1.2,1.8,11.5,hieldbu01
Mike Conley,37,MIN,PG,45,39,1125,12.8,0.537,0.666,0.199,2.2,9.3,5.9,24.8,2.5,0.7,12.9,15.1,1.5,1.5,3,0.126,-0.8,1.4,0.6,0.7,2.5,6.9,0.367,1.8,4.6,0.382,0.8,2.3,0.337,0.494,1.2,1.4,0.903,0.5,2.1,2.6,4.5,1.3,0.2,1.1,1.5,8.1,conlemi01
Deandre Ayton,26,POR,C,37,37,1124,18.4,0.587,0.073,0.118,11.2,26.5,18.7,8.5,1.3,2.9,11.8,19.6,1.4,1.3,2.7,0.114,0.1,-0.7,-0.7,0.4,6.8,11.9,0.572,0.2,0.9,0.188,6.6,11,0.602,0.579,0.9,1.4,0.654,3.1,7.2,10.4,1.6,0.8,0.9,1.7,2.2,14.6,aytonde01
Kyshawn George,21,WAS,SG,44,14,1118,7.3,0.475,0.693,0.164,3.1,12.1,7.5,11.9,1.6,2.3,13.9,15,-0.8,0.4,-0.4,-0.019,-4.7,-0.9,-5.6,-1,2.5,7.3,0.347,1.5,5.1,0.286,1.1,2.3,0.485,0.446,0.9,1.2,0.774,0.8,2.9,3.7,2.2,0.8,0.6,1.3,2.9,7.5,georgky01
Duncan Robinson,30,MIA,SF,46,28,1114,12,0.578,0.722,0.089,1.3,9.5,5.5,16.7,1.1,0.4,10.2,19.5,0.9,0.8,1.7,0.072,-0.7,-1.2,-1.9,0,3.9,9.2,0.424,2.5,6.7,0.381,1.4,2.6,0.534,0.561,0.7,0.8,0.895,0.3,2.2,2.4,2.7,0.5,0.1,1.1,2.1,11.1,robindu01
Haywood Highsmith,28,MIA,SF,46,37,1109,10.2,0.602,0.585,0.108,3.9,10.2,7.1,7.2,1.9,2.5,11.9,11.4,0.8,1.2,2,0.085,-2.5,0.8,-1.8,0.1,2.5,5.2,0.477,1.2,3.1,0.397,1.3,2.2,0.59,0.593,0.4,0.6,0.692,0.8,2.3,3.2,1.2,0.9,0.6,0.7,2.1,6.6,highsha01
Keon Johnson,22,BRK,SG,48,28,1099,9.4,0.482,0.523,0.174,3.4,14,8.5,13.3,1.9,1.4,11,21.8,-1,0.9,-0.1,-0.003,-3.8,-0.5,-4.2,-0.6,3.5,9.4,0.374,1.5,4.9,0.298,2,4.5,0.458,0.452,1.3,1.6,0.769,0.7,2.7,3.4,1.9,0.9,0.3,1.3,2.5,9.7,johnske07
Alex Sarr,19,WAS,C,41,41,1098,12.7,0.483,0.422,0.194,7,19,12.9,12.5,1.2,5.3,10.5,20.6,-0.6,0.7,0.2,0.007,-2.4,-0.8,-3.2,-0.3,4.3,10.9,0.397,1.4,4.6,0.307,2.9,6.3,0.463,0.462,1.4,2.1,0.644,1.8,4.8,6.6,2.2,0.7,1.6,1.4,2.4,11.5,sarral01
Patrick Williams,23,CHI,PF,41,35,1096,9.1,0.502,0.526,0.155,3,13.2,8.2,10.7,1.3,2,12.7,16.8,-0.5,0.8,0.2,0.01,-2.8,-0.7,-3.6,-0.4,3.3,8.8,0.38,1.7,4.6,0.358,1.7,4.2,0.404,0.474,1.1,1.4,0.804,0.8,3.4,4.2,2.2,0.8,0.6,1.4,1.3,9.4,willipa01
Julian Strawther,22,DEN,SG,50,0,1088,10.4,0.572,0.553,0.193,1.5,8.9,5.4,7.7,1.5,1.1,9.1,17.5,0.7,0.6,1.4,0.06,-2.5,-1.3,-3.7,-0.5,3.3,7.6,0.439,1.5,4.2,0.368,1.8,3.4,0.527,0.541,1.2,1.5,0.822,0.3,1.8,2.1,1.3,0.7,0.3,0.8,2.3,9.4,strawju01
Royce O'Neale,31,PHO,SF,43,11,1082,12.7,0.58,0.722,0.066,3.9,18.3,11.3,11.7,2,1.8,11,15.6,0.8,1,1.8,0.081,-0.2,0.2,0,0.5,3.3,7.7,0.426,2.2,5.6,0.402,1,2.1,0.489,0.571,0.4,0.5,0.773,0.9,4.3,5.1,2.1,1,0.5,1,2.2,9.2,onealro01
Onyeka Okongwu,24,ATL,C,43,9,1071,18.9,0.62,0.189,0.331,11.7,22.3,16.8,11.4,1.6,3.2,9.4,17,2.5,1.2,3.7,0.166,0.8,0.4,1.2,0.9,4.6,8.2,0.562,0.4,1.6,0.269,4.2,6.7,0.631,0.588,2,2.7,0.744,2.8,5,7.8,2,0.9,0.9,1,2.4,11.7,okongon01
Quentin Grimes,24,DAL,SG,47,12,1070,13.5,0.599,0.551,0.222,3.1,14.7,9,13.2,1.4,0.8,13.2,18.4,1.2,0.9,2,0.092,0.2,-0.4,-0.2,0.5,3.6,7.8,0.463,1.7,4.3,0.398,1.9,3.5,0.543,0.573,1.3,1.7,0.765,0.6,3.2,3.8,2.1,0.7,0.2,1.3,1.7,10.2,grimequ01
Scotty Pippen Jr.,24,MEM,PG,50,16,1068,14.9,0.553,0.358,0.286,4.1,12.4,8.3,28,2.7,1.5,17.2,19.5,1.3,1.6,2.8,0.126,-0.7,1.5,0.8,0.8,3.6,7.7,0.465,0.9,2.8,0.341,2.6,4.9,0.534,0.526,1.5,2.2,0.673,0.8,2.6,3.4,4.7,1.2,0.4,1.8,2.6,9.6,pippesc02
Davion Mitchell,26,TOR,PG,43,22,1063,7.8,0.528,0.481,0.151,1.7,7.1,4.3,24,1.4,0.7,23,13.1,0,0.4,0.4,0.017,-3.8,-0.6,-4.4,-0.6,2.4,5.6,0.427,1,2.7,0.357,1.4,2.9,0.492,0.513,0.6,0.8,0.667,0.4,1.6,2,4.6,0.7,0.2,1.8,2.6,6.3,mitchda01
D'Angelo Russell,28,2TM,PG,41,19,1063,15.4,0.543,0.539,0.227,1.4,11.2,6.3,31.5,1.9,1.5,13,23.6,1.1,0.9,1.9,0.087,0.8,-0.3,0.5,0.7,4.4,11,0.405,2,5.9,0.339,2.4,5,0.483,0.497,2.2,2.5,0.882,0.3,2.6,2.9,5.3,1,0.4,1.8,1.9,13.1,russeda01
D'Angelo Russell,28,2TM,PG,41,19,1063,15.4,0.543,0.539,0.227,1.4,11.2,6.3,31.5,1.9,1.5,13,23.6,1.1,0.9,1.9,0.087,0.8,-0.3,0.5,0.7,4.4,10.7,0.415,1.9,5.8,0.333,2.5,4.9,0.51,0.505,1.6,1.8,0.849,0.3,2.5,2.8,4.7,0.8,0.1,1.7,1.8,12.4,russeda01
D'Angelo Russell,28,2TM,PG,41,19,1063,15.4,0.543,0.539,0.227,1.4,11.2,6.3,31.5,1.9,1.5,13,23.6,1.1,0.9,1.9,0.087,0.8,-0.3,0.5,0.7,4.4,11.5,0.384,2.2,6.2,0.351,2.3,5.3,0.422,0.478,3.8,4.1,0.918,0.4,2.8,3.2,6.8,1.4,1,2,2.1,14.8,russeda01
D'Angelo Russell,28,LAL,PG,29,10,763,13.1,0.537,0.54,0.17,1.2,10.4,5.9,26,1.5,0.5,13,22.2,0.4,0.5,0.9,0.056,-0.6,-1.2,-1.8,0,4.4,11,0.405,2,5.9,0.339,2.4,5,0.483,0.497,2.2,2.5,0.882,0.3,2.6,2.9,5.3,1,0.4,1.8,1.9,13.1,russeda01
D'Angelo Russell,28,LAL,PG,29,10,763,13.1,0.537,0.54,0.17,1.2,10.4,5.9,26,1.5,0.5,13,22.2,0.4,0.5,0.9,0.056,-0.6,-1.2,-1.8,0,4.4,10.7,0.415,1.9,5.8,0.333,2.5,4.9,0.51,0.505,1.6,1.8,0.849,0.3,2.5,2.8,4.7,0.8,0.1,1.7,1.8,12.4,russeda01
D'Angelo Russell,28,LAL,PG,29,10,763,13.1,0.537,0.54,0.17,1.2,10.4,5.9,26,1.5,0.5,13,22.2,0.4,0.5,0.9,0.056,-0.6,-1.2,-1.8,0,4.4,11.5,0.384,2.2,6.2,0.351,2.3,5.3,0.422,0.478,3.8,4.1,0.918,0.4,2.8,3.2,6.8,1.4,1,2,2.1,14.8,russeda01
D'Angelo Russell,28,BRK,PG,12,9,300,21.3,0.555,0.536,0.355,1.9,13.2,7.3,45.5,2.8,4,13.1,26.9,0.7,0.4,1,0.165,4.5,1.9,6.4,0.6,4.4,11,0.405,2,5.9,0.339,2.4,5,0.483,0.497,2.2,2.5,0.882,0.3,2.6,2.9,5.3,1,0.4,1.8,1.9,13.1,russeda01
D'Angelo Russell,28,BRK,PG,12,9,300,21.3,0.555,0.536,0.355,1.9,13.2,7.3,45.5,2.8,4,13.1,26.9,0.7,0.4,1,0.165,4.5,1.9,6.4,0.6,4.4,10.7,0.415,1.9,5.8,0.333,2.5,4.9,0.51,0.505,1.6,1.8,0.849,0.3,2.5,2.8,4.7,0.8,0.1,1.7,1.8,12.4,russeda01
D'Angelo Russell,28,BRK,PG,12,9,300,21.3,0.555,0.536,0.355,1.9,13.2,7.3,45.5,2.8,4,13.1,26.9,0.7,0.4,1,0.165,4.5,1.9,6.4,0.6,4.4,11.5,0.384,2.2,6.2,0.351,2.3,5.3,0.422,0.478,3.8,4.1,0.918,0.4,2.8,3.2,6.8,1.4,1,2,2.1,14.8,russeda01
Miles Bridges,26,CHO,PF,33,33,1059,17.2,0.541,0.413,0.229,3.3,23.3,13,20.5,1,1.9,10.2,26.5,0.9,1.1,2.1,0.093,1.6,-0.3,1.3,0.9,7.2,16.4,0.435,2,6.8,0.295,5.2,9.6,0.535,0.496,3.3,3.8,0.871,1,6.8,7.8,3.8,0.7,0.6,2.1,1.6,19.6,bridgmi02
Gary Trent Jr.,26,MIL,SG,43,7,1058,10.4,0.584,0.66,0.107,0.7,8.9,5,5.7,1.9,0.2,6.6,15.6,0.6,0.9,1.5,0.07,-2.3,-0.4,-2.6,-0.2,3.3,7.9,0.426,2.2,5.2,0.417,1.2,2.7,0.443,0.564,0.7,0.8,0.889,0.2,2.1,2.3,1,1,0,0.6,1.8,9.6,trentga02
Keldon Johnson,25,SAS,SF,44,0,1057,14.3,0.551,0.374,0.262,5.9,14.8,10.4,9.1,1.2,0.9,7,21.2,1,0.8,1.8,0.081,-0.6,-1.3,-1.9,0,4.6,10,0.458,1.1,3.7,0.305,3.4,6.3,0.549,0.515,2,2.6,0.765,1.3,3.4,4.8,1.4,0.6,0.3,0.8,1.5,12.3,johnske04
Donte DiVincenzo,28,MIN,SG,40,8,1057,12.7,0.557,0.748,0.134,2.5,12.8,7.8,19.9,2.2,0.6,15.2,19.3,0.6,1.4,2,0.09,-0.2,0.9,0.7,0.7,3.7,9.3,0.397,2.6,7,0.369,1.1,2.4,0.479,0.535,1,1.3,0.82,0.6,3.1,3.7,3.6,1.2,0.2,1.8,1.6,11,divindo01
Daniel Gafford,26,DAL,C,48,25,1045,25.2,0.718,0,0.472,13.8,19.4,16.7,9.7,0.9,7.4,12,19.7,3.9,1.4,5.3,0.244,2.9,1.1,4,1.6,5.1,7.3,0.699,0,0,,5.1,7.3,0.699,0.699,2.5,3.5,0.711,2.7,4,6.7,1.4,0.4,1.8,1.2,2.7,12.7,gaffoda01
Santi Aldama,24,MEM,PF,42,11,1039,17.7,0.591,0.457,0.14,6.8,22,14.6,13.8,1.5,2,9.4,19.2,1.9,1.5,3.5,0.161,2.6,0.7,3.4,1.4,5,10.2,0.492,1.7,4.7,0.372,3.3,5.5,0.592,0.577,1,1.4,0.717,1.5,5.3,6.8,2.5,0.8,0.5,1.1,1,12.8,aldamsa01
LaMelo Ball,23,CHO,PG,31,31,1031,21.2,0.548,0.527,0.239,3,14.3,8.5,43.3,2,1,12.6,37.3,1.3,1,2.3,0.108,5.2,-0.2,5,1.8,9.7,23.3,0.419,4.1,12.3,0.337,5.6,11,0.51,0.508,4.5,5.5,0.82,1,4.3,5.3,7.3,1.4,0.3,3.7,3.5,28.2,ballla01
Georges Niang,31,CLE,PF,50,1,1030,11.3,0.619,0.648,0.085,3.6,15.6,9.7,8.3,0.8,0.6,11.7,16.7,1.1,1,2.1,0.097,-1.1,-0.7,-1.7,0.1,3.3,6.8,0.478,1.8,4.4,0.403,1.5,2.4,0.617,0.609,0.5,0.6,0.793,0.7,3,3.7,1.3,0.3,0.1,0.9,2.5,8.8,niangge01
Zaccharie Risacher,19,ATL,SF,43,41,1027,11,0.514,0.427,0.228,5.8,10.2,7.9,7.4,1.6,1.9,9.4,20.7,-0.1,0.7,0.6,0.027,-2.9,-1.7,-4.5,-0.7,4.2,10,0.42,1.3,4.3,0.311,2.9,5.7,0.5,0.486,1.6,2.3,0.694,1.3,2.2,3.5,1.2,0.8,0.5,1.1,2,11.3,risacza01
Al Horford,38,BOS,C,39,25,1027,11.7,0.546,0.709,0.058,4.5,17.2,10.8,9.9,1.2,3,8.9,13.2,0.9,1.4,2.3,0.11,-0.5,0.9,0.4,0.6,2.9,7.1,0.41,1.8,5.1,0.35,1.2,2.1,0.556,0.534,0.4,0.4,0.875,1.1,4.2,5.3,1.9,0.6,0.9,0.7,1.5,8,horfoal01
Franz Wagner,23,ORL,SF,31,31,1026,22.3,0.57,0.337,0.314,3,17,9.5,30.7,2.2,1.3,9.7,31.9,1.9,1.6,3.5,0.164,4.2,1.3,5.5,2,8.8,19.2,0.46,2,6.5,0.308,6.8,12.7,0.537,0.512,5.3,6,0.872,0.9,4.5,5.4,5.2,1.5,0.5,2.4,2.5,24.9,wagnefr01
De'Andre Hunter,27,ATL,SF,36,3,1025,15.7,0.613,0.495,0.369,2.6,11.8,7.1,7.7,1.3,0.5,9.2,24.3,1.6,0.6,2.2,0.101,0.7,-1.6,-0.9,0.3,6.1,13.3,0.459,2.5,6.6,0.386,3.6,6.7,0.531,0.555,4.2,4.9,0.858,0.7,3,3.8,1.4,0.8,0.1,1.6,2.4,18.9,huntede01
Aaron Wiggins,26,OKC,SG,48,15,1023,14.9,0.59,0.463,0.1,5.3,12.3,8.9,10.4,1.6,1.1,9.3,18.7,1.4,1.8,3.1,0.147,0.6,0.2,0.8,0.7,4,8.1,0.491,1.4,3.8,0.365,2.6,4.4,0.6,0.575,0.7,0.8,0.821,1,2.5,3.5,1.6,0.7,0.2,0.9,1.3,10,wiggiaa01
Keon Ellis,25,SAC,SG,47,11,1022,13.7,0.649,0.705,0.201,4,8.2,6.1,7.4,3.2,3.4,12.1,13.1,1.4,1.3,2.7,0.125,0.2,1.9,2.1,1.1,2.5,5.4,0.469,1.6,3.8,0.43,0.9,1.6,0.56,0.62,0.9,1.1,0.863,0.8,1.6,2.4,1.3,1.4,0.8,0.8,1.9,7.6,elliske01
Jabari Smith Jr.,21,HOU,PF,33,33,1021,12.5,0.568,0.505,0.24,6,16.8,11.2,4.4,0.6,2.8,8,15.1,1.4,1.3,2.7,0.128,-0.5,0.3,-0.2,0.4,4.1,9.5,0.435,1.7,4.8,0.354,2.4,4.7,0.516,0.524,2,2.3,0.867,1.8,4.7,6.5,1,0.4,1,0.9,2.3,11.9,smithja05
Dejounte Murray,28,NOP,PG,31,31,1012,15.6,0.494,0.352,0.251,1.7,20.3,10.7,35,3,1.1,16.2,27.3,-0.6,0.9,0.3,0.015,-1,-0.4,-1.4,0.1,6.3,15.9,0.393,1.7,5.6,0.299,4.6,10.3,0.444,0.445,3.3,4,0.823,0.5,5.9,6.5,7.4,2,0.4,3.4,2,17.5,murrade01
Bobby Portis,29,MIL,PF,41,5,1011,17.3,0.541,0.297,0.125,7.7,26.1,17.2,12.3,1.3,1.9,9,24,0.6,1.4,2.1,0.098,0.3,-0.7,-0.4,0.4,5.5,11.7,0.466,1.3,3.5,0.364,4.2,8.2,0.509,0.52,1.2,1.5,0.817,1.7,6.2,7.9,2,0.7,0.5,1.2,1.8,13.4,portibo01
Clint Capela,30,ATL,C,45,41,1010,17.9,0.577,0,0.258,15.2,28.4,21.5,7.8,1.2,4.1,10.7,16.6,1.5,1.3,2.8,0.133,-0.7,-0.4,-1.1,0.2,4.2,7.3,0.573,0,0,,4.2,7.3,0.573,0.573,1,1.9,0.541,3.3,5.7,9,1.2,0.6,1,1,2,9.4,capelca01
Jaime Jaquez Jr.,23,MIA,SF,43,10,1004,13.6,0.532,0.261,0.348,6,15.9,11,17.3,2.4,0.8,14.8,19.7,0.3,1.3,1.6,0.076,-2.2,0.6,-1.6,0.1,3.4,7.7,0.442,0.6,2,0.302,2.8,5.7,0.492,0.482,2,2.7,0.757,1.3,3.5,4.7,2.7,1.1,0.2,1.5,1.6,9.4,jaqueja01
Jalen Suggs,23,ORL,PG,35,35,1002,14.5,0.536,0.503,0.229,2.5,14.6,8.2,22.2,2.5,3.2,16.2,27.4,-0.6,1.7,1.1,0.054,-0.7,1.1,0.5,0.6,5.6,13.7,0.41,2.2,6.9,0.314,3.5,6.8,0.506,0.489,2.8,3.1,0.882,0.7,3.4,4,3.7,1.5,0.9,2.9,2.8,16.2,suggsja01
Javonte Green,31,NOP,SG,45,17,1000,11.2,0.575,0.463,0.322,5.1,12.7,8.7,5.4,2.4,2.7,10.3,11,0.8,0.5,1.4,0.066,-2.3,0.2,-2.1,0,2,4.6,0.449,0.8,2.1,0.368,1.3,2.4,0.518,0.534,1.1,1.5,0.758,1.1,2.5,3.6,0.9,1.1,0.6,0.6,1.5,6,greenja02
Dalton Knecht,23,LAL,SF,48,12,994,12.5,0.598,0.609,0.161,2.8,13.6,8.4,6.1,0.8,0.3,6,17.9,1.2,0.6,1.7,0.084,-0.5,-1.9,-2.4,-0.1,3.4,7.4,0.465,1.6,4.5,0.358,1.8,2.9,0.63,0.574,1,1.2,0.825,0.5,2.6,3.1,0.9,0.3,0.1,0.5,1.3,9.4,knechda01
Grayson Allen,29,PHO,SG,40,1,989,14.6,0.649,0.747,0.234,2.9,12,7.6,11.1,1.9,1.1,10.9,16.8,1.6,0.6,2.2,0.108,1.4,-0.7,0.6,0.7,3.5,7.6,0.457,2.5,5.7,0.432,1,1.9,0.532,0.618,1.5,1.8,0.831,0.6,2.8,3.4,1.9,1,0.3,1,1.4,10.9,allengr01
Jonas Valančiūnas,32,WAS,C,49,12,983,20.7,0.602,0.064,0.251,12.4,30.5,21.3,18.9,1.1,2.6,15.8,23.6,1.4,0.8,2.2,0.108,0.9,-0.7,0.2,0.6,4.7,8.6,0.547,0.1,0.6,0.259,4.6,8.1,0.567,0.556,1.9,2.2,0.896,2.4,5.8,8.2,2.2,0.4,0.6,1.8,2,11.5,valanjo01
Wendell Carter Jr.,25,ORL,C,38,26,980,13.6,0.527,0.327,0.418,7.8,26.3,16.4,13.9,1.6,2,10.6,15.5,0.9,1.7,2.6,0.125,-2.2,1.3,-0.9,0.3,3.1,6.9,0.441,0.4,2.3,0.186,2.6,4.7,0.565,0.471,2.1,2.9,0.727,1.8,5.4,7.3,2.4,0.8,0.5,1,2.7,8.6,cartewe01
Brandon Boston Jr.,23,NOP,SG,41,10,978,12.9,0.535,0.362,0.217,2.9,12.1,7.3,14.1,2.5,0.8,10.9,19.8,0.3,0.4,0.8,0.037,-2.2,-0.4,-2.5,-0.1,4,9.1,0.437,1.1,3.3,0.341,2.9,5.8,0.492,0.499,1.6,2,0.802,0.7,2.6,3.2,2.2,1.2,0.2,1.2,1.7,10.7,bostobr01
Jake LaRavia,23,MEM,PF,46,0,977,13.6,0.61,0.375,0.392,7.4,14.6,11.1,16.5,2.1,1.8,19.7,14.3,1.3,1.4,2.7,0.131,0,1.5,1.5,0.9,2.6,5.2,0.492,0.9,2,0.444,1.7,3.3,0.52,0.575,1.5,2,0.713,1.5,3,4.5,2.9,1,0.4,1.5,2,7.5,laravja01
Draymond Green,34,GSW,PF,35,33,975,11.7,0.528,0.527,0.273,3.7,19.7,11.4,26.5,1.8,3.7,23.9,15.6,0,1.4,1.5,0.071,-2.3,2.4,0.1,0.5,2.9,7,0.416,1.3,3.7,0.357,1.6,3.3,0.483,0.51,1.1,1.9,0.597,1,5,6,5.5,1,1.1,2.5,3,8.3,greendr01
Kris Dunn,30,LAC,PG,43,29,968,10.3,0.498,0.526,0.048,3.5,12.6,8.1,16.5,3.3,1.4,15.8,13.6,-0.1,1.7,1.7,0.083,-3.6,3.1,-0.4,0.4,2.4,5.8,0.418,0.9,3.1,0.295,1.5,2.8,0.555,0.496,0.1,0.3,0.5,0.7,2.6,3.3,2.7,1.5,0.3,1.1,2.5,5.9,dunnkr01
Cody Martin,29,CHO,SF,39,8,967,11.8,0.528,0.463,0.183,4.3,15.5,9.7,13.5,2.2,2.7,12.7,14.5,0.4,1.2,1.6,0.078,-2.2,1.2,-1,0.2,3,6.9,0.433,1,3.2,0.323,1.9,3.7,0.528,0.507,0.9,1.3,0.694,1,3.5,4.5,2.3,1.1,0.7,1.1,1.8,7.8,martico01
Devin Vassell,24,SAS,SG,32,21,964,13.4,0.536,0.459,0.156,2.3,10.2,6.3,15.6,1.8,1.5,9.8,23.5,0.1,0.7,0.8,0.042,-0.8,-0.8,-1.6,0.1,6.1,14,0.432,2.3,6.4,0.354,3.8,7.6,0.498,0.513,1.7,2.2,0.757,0.7,3,3.6,3,1.1,0.5,1.6,1.6,16.1,vassede01
Goga Bitadze,25,ORL,C,40,36,963,20,0.634,0.076,0.343,12.4,28.4,19.9,15.8,1.8,6.4,16,15.5,1.8,2,3.9,0.192,0.2,2.9,3.1,1.2,3.9,6.3,0.614,0.1,0.5,0.105,3.8,5.8,0.655,0.618,1.4,2.2,0.651,2.8,5.5,8.3,2.4,0.9,1.6,1.4,2.3,9.2,bitadgo01
Paul George,34,PHI,PF,30,30,961,15.6,0.544,0.457,0.18,2.3,19.1,10.3,23.9,2.6,1.2,14.8,25.5,0,1,1,0.051,0.3,0.1,0.4,0.6,6.3,14.6,0.429,2.4,6.7,0.365,3.8,7.9,0.483,0.513,2.2,2.6,0.823,0.7,5,5.6,4.7,1.7,0.4,2.7,2.5,17.1,georgpa01
Nikola Jović,21,MIA,PF,39,10,957,14.8,0.603,0.552,0.254,2.8,14.7,8.8,17.2,1.8,1.1,12.1,18.4,1.3,1,2.3,0.116,0.3,0.3,0.6,0.6,3.7,8.1,0.457,1.7,4.5,0.385,2,3.6,0.546,0.563,1.7,2.1,0.838,0.6,3.4,4,2.8,0.9,0.3,1.2,1.6,10.8,jovicni01
Miles McBride,24,NYK,PG,41,0,954,13,0.551,0.584,0.127,3.9,7.8,5.9,15.2,1.8,0.7,7.9,16.8,1.4,0.7,2.1,0.105,0.2,-0.4,-0.1,0.4,3.3,7.9,0.422,1.7,4.6,0.367,1.6,3.3,0.5,0.53,0.8,1,0.829,0.8,1.6,2.4,2.7,0.9,0.2,0.7,1.4,9.1,mcbrimi01
Caleb Martin,29,PHI,SF,31,24,943,10.3,0.531,0.375,0.319,5.1,12.2,8.4,10.4,1.8,2.2,14,14.4,0.2,0.6,0.8,0.043,-2.1,-0.1,-2.2,0,3.3,7.5,0.435,1.1,2.8,0.379,2.2,4.7,0.469,0.506,1.5,2.4,0.622,1.4,3,4.4,2.2,1.1,0.6,1.4,2,9.1,martica02
Andrew Nembhard,25,IND,SG,33,33,938,13.5,0.569,0.278,0.296,2.1,11.4,6.8,24.2,2.1,0.4,15.5,17.5,1,0.7,1.7,0.086,-1.6,0.2,-1.4,0.1,4.2,8.6,0.482,0.8,2.4,0.342,3.3,6.2,0.537,0.53,1.9,2.5,0.762,0.5,2.9,3.5,5.2,1.2,0.1,1.8,2.2,11.1,nembhan01
John Collins,27,UTA,PF,31,22,927,19.5,0.639,0.26,0.296,8.4,22,15.3,12.6,1.6,3.2,15.7,23.6,1.5,0.7,2.3,0.117,1.7,-0.2,1.5,0.8,6.7,12.5,0.535,1.5,3.3,0.455,5.2,9.3,0.563,0.594,3.2,3.7,0.87,2.3,6.1,8.3,2.3,1,1,2.6,3.1,18.1,collijo01
Naji Marshall,27,DAL,SF,38,14,925,14.3,0.578,0.323,0.196,3.9,11.7,7.9,15,1.9,0.4,12.6,18.9,1,0.7,1.7,0.091,-0.5,0,-0.5,0.4,4.3,8.7,0.495,0.8,2.8,0.299,3.5,5.9,0.589,0.544,1.5,1.7,0.862,0.9,2.7,3.6,2.6,1,0.1,1.4,1.4,10.9,marshna01
Isaiah Joe,25,OKC,SG,44,11,924,13.3,0.595,0.783,0.075,2.3,10.4,6.4,8.9,1.7,0.7,5.3,17.4,1.4,1.5,2.9,0.149,0.8,0.3,1.1,0.7,3.4,7.9,0.431,2.5,6.2,0.399,0.9,1.7,0.547,0.587,0.4,0.6,0.731,0.5,2.1,2.5,1.4,0.7,0.1,0.5,1.6,9.7,joeis01
Brandon Miller,22,CHO,SF,27,27,924,14.2,0.54,0.597,0.161,2.8,12.7,7.6,18.1,1.5,2.1,12.6,27.5,0,0.8,0.9,0.046,0.9,-0.8,0.2,0.5,7.3,18.2,0.403,3.9,10.9,0.355,3.5,7.3,0.475,0.509,2.5,2.9,0.861,0.9,3.9,4.9,3.6,1.1,0.7,2.8,2.7,21,millebr02
Dorian Finney-Smith,31,2TM,PF,34,23,913,11.2,0.624,0.693,0.126,5.5,11.5,8.4,7,1.6,1.3,10.3,13.1,1,0.6,1.7,0.088,-0.7,-0.2,-0.9,0.3,3.2,6.8,0.468,2,4.7,0.431,1.1,2.1,0.549,0.617,0.6,0.9,0.655,1.3,2.6,3.9,1.3,0.9,0.4,0.8,2.5,8.9,finnedo01
Dorian Finney-Smith,31,2TM,PF,34,23,913,11.2,0.624,0.693,0.126,5.5,11.5,8.4,7,1.6,1.3,10.3,13.1,1,0.6,1.7,0.088,-0.7,-0.2,-0.9,0.3,3.7,8,0.459,2.4,5.4,0.435,1.3,2.6,0.51,0.607,0.8,1.2,0.625,1.6,3,4.6,1.6,0.9,0.6,0.9,2.7,10.4,finnedo01
Dorian Finney-Smith,31,2TM,PF,34,23,913,11.2,0.624,0.693,0.126,5.5,11.5,8.4,7,1.6,1.3,10.3,13.1,1,0.6,1.7,0.088,-0.7,-0.2,-0.9,0.3,2.5,5.1,0.486,1.6,3.7,0.423,0.9,1.4,0.65,0.639,0.3,0.4,0.8,0.9,2.1,3.1,0.9,0.8,0,0.7,2.2,6.9,finnedo01
Dorian Finney-Smith,31,BRK,PF,20,20,579,12.3,0.613,0.679,0.151,6,12.4,9.1,8.2,1.5,2.1,9.6,14.3,0.7,0.4,1.1,0.095,0,0,0,0.3,3.2,6.8,0.468,2,4.7,0.431,1.1,2.1,0.549,0.617,0.6,0.9,0.655,1.3,2.6,3.9,1.3,0.9,0.4,0.8,2.5,8.9,finnedo01
