Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
Jamal Murray,27,DEN,PG,44,44,1583,16.9,0.562,0.34,0.22,2,10,6.2,23.4,1.9,1.4,10.8,23.9,2.3,1.2,3.5,0.106,0.8,-0.9,-0.1,0.8,7.6,16.5,0.459,2,5.6,0.36,5.6,10.9,0.51,0.521,3.2,3.6,0.875,0.6,3.4,4,6.1,1.5,0.6,2.2,1.8,20.4,murraja01
Kelly Oubre Jr.,29,PHI,SF,46,43,1580,13.3,0.543,0.349,0.247,5.3,16.9,10.8,8.6,2.1,1.4,9.1,18.7,0.9,1.4,2.3,0.07,-1.6,-0.4,-2,0,5.5,11.9,0.459,1.2,4.2,0.293,4.2,7.7,0.548,0.51,2.2,2.9,0.748,1.6,4.7,6.3,1.9,1.5,0.5,1.3,2.9,14.3,oubreke01
DeMar DeRozan,35,SAC,SF,44,44,1577,17.2,0.569,0.163,0.322,1.7,9.9,5.8,15.3,1.5,1.1,6.6,24.3,2.7,1,3.8,0.115,0.3,-0.9,-0.6,0.6,8.1,16.8,0.484,0.9,2.7,0.325,7.2,14,0.515,0.511,4.6,5.4,0.861,0.5,3.2,3.8,3.6,1.1,0.4,1.3,2,21.8,derozde01
Toumani Camara,24,POR,PF,49,49,1575,11.7,0.569,0.494,0.182,7.5,12.1,9.8,8.8,2.1,1.7,14.1,13.8,1.3,1.2,2.5,0.076,-1.3,0.3,-1,0.4,3.8,8.4,0.457,1.5,4.1,0.365,2.3,4.2,0.548,0.547,1.1,1.5,0.733,2.2,3.5,5.8,2,1.4,0.6,1.5,2.9,10.3,camarto01
Jaden McDaniels,24,MIN,PF,50,50,1568,12.2,0.556,0.414,0.152,5.2,13.8,9.6,7.7,2.3,2.6,10.1,15.2,1.1,2.4,3.5,0.107,-2,1.7,-0.3,0.7,4.3,9.2,0.462,1.3,3.8,0.34,3,5.4,0.548,0.533,1.1,1.4,0.8,1.4,4,5.4,1.7,1.5,0.9,1.1,2.9,10.9,mcdanja02
Julius Randle,30,MIN,PF,48,48,1564,17.2,0.578,0.328,0.37,7.4,16.9,12.3,22,1.1,0.7,14.8,25.6,2.3,1.9,4.2,0.128,1.1,-0.3,0.8,1.1,6.6,14,0.47,1.5,4.6,0.321,5.1,9.4,0.542,0.522,4.2,5.2,0.811,2.1,5,7.2,4.5,0.7,0.2,2.8,2.5,18.9,randlju01
Jaylen Brown,28,BOS,SF,44,44,1559,17.9,0.55,0.326,0.29,4.5,14.3,9.4,22.3,1.6,0.7,11.1,29,1.8,2,3.7,0.115,0.6,-0.6,0,0.8,8.6,18.7,0.46,2,6.1,0.321,6.6,12.6,0.528,0.513,4,5.4,0.739,1.5,4.7,6.1,4.8,1.2,0.3,2.6,2.6,23.1,brownja02
LeBron James,40,LAL,SF,45,45,1557,23,0.601,0.304,0.246,2.9,21.4,12.4,44.7,1.2,1.4,16,30.4,3.2,1.6,4.8,0.147,5.1,0.4,5.4,2.9,9.3,18.1,0.514,2.1,5.5,0.381,7.2,12.6,0.572,0.572,3.4,4.4,0.765,0.9,6.7,7.6,9.1,0.9,0.5,3.8,1.4,24.1,jamesle01
Tobias Harris,32,DET,PF,48,48,1541,12.9,0.544,0.353,0.189,3.1,17.7,10.4,10.4,1.3,2.5,8.4,17.4,1.2,1.6,2.8,0.088,-1.1,0.3,-0.9,0.4,5,11.1,0.45,1.3,3.9,0.324,3.7,7.2,0.519,0.508,1.8,2.1,0.861,0.9,5.1,6,2.4,0.9,0.9,1.1,1.9,13.1,harrito02
Ivica Zubac,27,LAC,C,48,48,1531,21,0.617,0,0.258,13.4,30.4,22,12.4,1.1,3.6,12.2,18.9,3.2,2.9,6.1,0.192,1.4,0.8,2.2,1.6,6.7,11,0.608,0,0,,6.7,11,0.608,0.608,1.7,2.8,0.61,3.8,8.8,12.6,2.5,0.7,1.1,1.7,1.9,15.1,zubaciv01
