Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
73,Bradley Beal,31,PHO,SG,36,23,32.4,6.6,13.3,.492,2.1,5.1,.400,4.5,8.2,.549,.569,2.0,2.5,.789,0.7,2.7,3.4,3.4,1.1,0.6,2.0,2.6,17.1,,bealbr01
74,Paul George,34,PHI,PF,30,30,32.0,6.3,14.6,.429,2.4,6.7,.365,3.8,7.9,.483,.513,2.2,2.6,.823,0.7,5.0,5.6,4.7,1.7,0.4,2.7,2.5,17.1,,georgpa01
75,Jimmy Butler,35,MIA,PF,25,25,30.6,5.7,10.5,.540,0.5,1.4,.361,5.2,9.1,.568,.565,5.2,6.4,.801,2.2,3.0,5.2,4.8,1.1,0.4,1.2,0.9,17.0,,butleji01
76,Jonathan Kuminga,22,GSW,PF,32,10,26.0,6.1,13.2,.459,1.3,3.6,.345,4.8,9.6,.502,.506,3.4,5.3,.639,1.4,3.6,5.0,2.2,0.9,0.6,1.6,1.9,16.8,,kuminjo01
77,Bam Adebayo,27,MIA,C,47,47,33.9,6.3,13.5,.470,0.7,2.5,.286,5.6,11.0,.513,.497,3.0,4.1,.724,2.4,7.5,9.9,4.6,1.3,0.8,2.2,2.1,16.4,,adebaba01
78,OG Anunoby,27,NYK,PF,49,49,36.3,6.2,12.8,.482,2.1,5.8,.365,4.1,7.0,.577,.564,1.9,2.4,.792,1.3,3.4,4.7,2.0,1.4,0.9,1.3,2.3,16.4,,anunoog01
79,Chet Holmgren,22,OKC,C,10,10,26.5,5.6,11.1,.505,1.4,3.7,.378,4.2,7.4,.568,.568,3.8,4.9,.776,1.6,7.1,8.7,2.0,0.8,2.6,2.3,1.8,16.4,,holmgch01
80,Malik Beasley,28,DET,SG,50,11,27.8,5.7,13.1,.434,3.8,9.2,.413,1.9,3.9,.482,.579,1.1,1.7,.675,0.6,2.4,2.9,1.8,0.9,0.0,1.1,1.5,16.3,,beaslma01
81,Keyonte George,21,UTA,PG,38,32,31.3,5.3,13.6,.389,2.6,7.6,.337,2.7,6.0,.454,.483,3.0,3.8,.804,0.4,3.2,3.6,5.8,0.7,0.2,2.9,1.8,16.2,,georgke01
82,Bennedict Mathurin,22,IND,SF,47,42,31.7,5.7,12.2,.470,1.5,4.2,.357,4.3,8.0,.529,.531,3.2,3.9,.820,1.2,4.5,5.7,1.8,0.6,0.4,2.0,2.5,16.2,,mathube01
83,Jalen Suggs,23,ORL,PG,35,35,28.6,5.6,13.7,.410,2.2,6.9,.314,3.5,6.8,.506,.489,2.8,3.1,.882,0.7,3.4,4.0,3.7,1.5,0.9,2.9,2.8,16.2,,suggsja01
84,Derrick White,30,BOS,SG,48,48,33.8,5.5,12.6,.440,3.4,8.9,.380,2.2,3.7,.584,.575,1.7,2.1,.820,1.0,3.3,4.2,4.2,0.9,1.2,1.6,1.9,16.2,,whitede01
85,Jordan Clarkson,32,UTA,SG,26,3,25.6,5.4,13.2,.412,2.1,5.9,.359,3.3,7.3,.455,.493,3.1,3.8,.818,0.6,2.5,3.2,3.7,0.9,0.3,2.2,1.5,16.1,,clarkjo01
86,Devin Vassell,24,SAS,SG,32,21,30.1,6.1,14.0,.432,2.3,6.4,.354,3.8,7.6,.498,.513,1.7,2.2,.757,0.7,3.0,3.6,3.0,1.1,0.5,1.6,1.6,16.1,,vassede01
87,Mark Williams,23,CHO,C,22,19,25.0,6.3,10.5,.597,0.0,0.0,.000,6.3,10.5,.600,.597,3.5,4.5,.776,3.4,6.5,9.8,2.5,0.7,1.2,1.0,2.6,16.0,,willima07
88,Kawhi Leonard,33,LAC,SF,12,12,24.3,6.5,13.9,.467,1.5,4.3,.346,5.0,9.6,.522,.521,1.4,1.9,.739,0.7,3.9,4.6,2.4,0.9,0.5,1.7,1.1,15.9,,leonaka01
89,Gradey Dick,21,TOR,SG,43,43,29.9,5.3,12.7,.420,2.2,6.3,.352,3.1,6.4,.489,.508,2.7,3.1,.886,0.7,2.5,3.3,2.0,0.8,0.2,1.6,2.3,15.7,,dickgr01
90,Myles Turner,28,IND,C,45,45,31.1,5.5,11.5,.479,2.1,5.2,.402,3.4,6.3,.543,.570,2.4,3.1,.752,1.3,5.4,6.7,1.6,0.8,1.8,2.0,2.9,15.4,,turnemy01
91,Jared McCain,20,PHI,SG,23,8,25.7,5.5,11.9,.460,2.2,5.8,.383,3.3,6.1,.532,.553,2.1,2.4,.875,0.6,1.9,2.4,2.6,0.7,0.0,1.6,1.6,15.3,,mccaija01
92,Kyle Kuzma,29,WAS,PF,32,30,27.7,6.0,14.2,.420,1.4,5.0,.281,4.6,9.2,.495,.469,1.8,3.1,.602,0.8,4.9,5.8,2.5,0.6,0.2,2.3,1.6,15.2,,kuzmaky01
93,Ivica Zubac,27,LAC,C,48,48,31.9,6.7,11.0,.608,0.0,0.0,,6.7,11.0,.608,.608,1.7,2.8,.610,3.8,8.8,12.6,2.5,0.7,1.1,1.7,1.9,15.1,,zubaciv01
94,Immanuel Quickley,25,TOR,PG,12,12,25.8,4.9,12.1,.407,2.1,5.7,.368,2.8,6.4,.442,.493,3.1,3.3,.925,0.2,1.9,2.1,5.7,0.6,0.2,1.4,1.5,15.0,,quickim01
95,Jerami Grant,30,POR,PF,39,39,32.2,4.7,12.2,.385,2.3,6.1,.382,2.4,6.1,.388,.481,3.1,3.6,.850,0.6,2.7,3.3,2.2,0.7,1.0,1.3,2.3,14.8,,grantje01
96,Deni Avdija,24,POR,SF,48,30,28.9,4.9,10.5,.465,1.5,4.4,.341,3.4,6.1,.554,.537,3.4,4.4,.778,1.2,5.3,6.5,3.4,1.0,0.6,2.5,2.3,14.7,,avdijde01
97,Deandre Ayton,26,POR,C,37,37,30.4,6.8,11.9,.572,0.2,0.9,.188,6.6,11.0,.602,.579,0.9,1.4,.654,3.1,7.2,10.4,1.6,0.8,0.9,1.7,2.2,14.6,,aytonde01
