Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
132,Keon Johnson,22,BRK,SG,48,28,1099,9.4,.482,.523,.174,3.4,14.0,8.5,13.3,1.9,1.4,11.0,21.8,-1.0,0.9,-0.1,-0.003,-3.8,-0.5,-4.2,-0.6,,johnske07
133,Alex Sarr,19,WAS,C,41,41,1098,12.7,.483,.422,.194,7.0,19.0,12.9,12.5,1.2,5.3,10.5,20.6,-0.6,0.7,0.2,.007,-2.4,-0.8,-3.2,-0.3,,sarral01
134,Patrick Williams,23,CHI,PF,41,35,1096,9.1,.502,.526,.155,3.0,13.2,8.2,10.7,1.3,2.0,12.7,16.8,-0.5,0.8,0.2,.010,-2.8,-0.7,-3.6,-0.4,,willipa01
135,Julian Strawther,22,DEN,SG,50,0,1088,10.4,.572,.553,.193,1.5,8.9,5.4,7.7,1.5,1.1,9.1,17.5,0.7,0.6,1.4,.060,-2.5,-1.3,-3.7,-0.5,,strawju01
136,Royce O'Neale,31,PHO,SF,43,11,1082,12.7,.580,.722,.066,3.9,18.3,11.3,11.7,2.0,1.8,11.0,15.6,0.8,1.0,1.8,.081,-0.2,0.2,0.0,0.5,,onealro01
137,Onyeka Okongwu,24,ATL,C,43,9,1071,18.9,.620,.189,.331,11.7,22.3,16.8,11.4,1.6,3.2,9.4,17.0,2.5,1.2,3.7,.166,0.8,0.4,1.2,0.9,,okongon01
138,Quentin Grimes,24,DAL,SG,47,12,1070,13.5,.599,.551,.222,3.1,14.7,9.0,13.2,1.4,0.8,13.2,18.4,1.2,0.9,2.0,.092,0.2,-0.4,-0.2,0.5,,grimequ01
139,Scotty Pippen Jr.,24,MEM,PG,50,16,1068,14.9,.553,.358,.286,4.1,12.4,8.3,28.0,2.7,1.5,17.2,19.5,1.3,1.6,2.8,.126,-0.7,1.5,0.8,0.8,,pippesc02
140,Davion Mitchell,26,TOR,PG,43,22,1063,7.8,.528,.481,.151,1.7,7.1,4.3,24.0,1.4,0.7,23.0,13.1,0.0,0.4,0.4,.017,-3.8,-0.6,-4.4,-0.6,,mitchda01
141,D'Angelo Russell,28,2TM,PG,41,19,1063,15.4,.543,.539,.227,1.4,11.2,6.3,31.5,1.9,1.5,13.0,23.6,1.1,0.9,1.9,.087,0.8,-0.3,0.5,0.7,,russeda01
141,D'Angelo Russell,28,LAL,PG,29,10,763,13.1,.537,.540,.170,1.2,10.4,5.9,26.0,1.5,0.5,13.0,22.2,0.4,0.5,0.9,.056,-0.6,-1.2,-1.8,0.0,,russeda01
141,D'Angelo Russell,28,BRK,PG,12,9,300,21.3,.555,.536,.355,1.9,13.2,7.3,45.5,2.8,4.0,13.1,26.9,0.7,0.4,1.0,.165,4.5,1.9,6.4,0.6,,russeda01
142,Miles Bridges,26,CHO,PF,33,33,1059,17.2,.541,.413,.229,3.3,23.3,13.0,20.5,1.0,1.9,10.2,26.5,0.9,1.1,2.1,.093,1.6,-0.3,1.3,0.9,,bridgmi02
143,Gary Trent Jr.,26,MIL,SG,43,7,1058,10.4,.584,.660,.107,0.7,8.9,5.0,5.7,1.9,0.2,6.6,15.6,0.6,0.9,1.5,.070,-2.3,-0.4,-2.6,-0.2,,trentga02
144,Keldon Johnson,25,SAS,SF,44,0,1057,14.3,.551,.374,.262,5.9,14.8,10.4,9.1,1.2,0.9,7.0,21.2,1.0,0.8,1.8,.081,-0.6,-1.3,-1.9,0.0,,johnske04
145,Donte DiVincenzo,28,MIN,SG,40,8,1057,12.7,.557,.748,.134,2.5,12.8,7.8,19.9,2.2,0.6,15.2,19.3,0.6,1.4,2.0,.090,-0.2,0.9,0.7,0.7,,divindo01
